"categoria","codigoproduto","totalvendido"
"Acessórios para Bolos, Festas e Decoração","21212",33616
"Acessórios para Bolos, Festas e Decoração","22616",25259
"Acessórios para Bolos, Festas e Decoração","21977",24096
"Acessórios para Bolos, Festas e Decoração","84991",17494
"Acessórios para Bolos, Festas e Decoração","22952",14578
"Acessórios para Bolos, Festas e Decoração","21213",14166
"Acessórios para Bolos, Festas e Decoração","84992",12995
"Acessórios para Bolos, Festas e Decoração","21975",12052
"Acessórios para Bolos, Festas e Decoração","23307",11632
"Acessórios para Bolos, Festas e Decoração","21108",10052
"Acessórios para Bolos, Festas e Decoração","22558",8401
"Acessórios para Bolos, Festas e Decoração","23293",8222
"Acessórios para Bolos, Festas e Decoração","21985",8104
"Acessórios para Bolos, Festas e Decoração","22417",8060
"Acessórios para Bolos, Festas e Decoração","23309",7613
"Acessórios para Bolos, Festas e Decoração","22951",7199
"Acessórios para Bolos, Festas e Decoração","22720",6991
"Acessórios para Bolos, Festas e Decoração","21982",6862
"Acessórios para Bolos, Festas e Decoração","22907",6023
"Acessórios para Bolos, Festas e Decoração","23308",5943
"Acessórios para Bolos, Festas e Decoração","23245",5832
"Acessórios para Bolos, Festas e Decoração","21981",5277
"Acessórios para Bolos, Festas e Decoração","21967",5142
"Acessórios para Bolos, Festas e Decoração","21976",4925
"Acessórios para Bolos, Festas e Decoração","21986",3979
"Acessórios para Bolos, Festas e Decoração","48185",3425
"Acessórios para Bolos, Festas e Decoração","23378",3400
"Acessórios para Bolos, Festas e Decoração","21984",3281
"Acessórios para Bolos, Festas e Decoração","47591D",3140
"Acessórios para Bolos, Festas e Decoração","22614",2949
"Acessórios para Bolos, Festas e Decoração","21983",2223
"Acessórios para Bolos, Festas e Decoração","21989",2053
"Acessórios para Bolos, Festas e Decoração","22615",2022
"Acessórios para Bolos, Festas e Decoração","22956",1994
"Acessórios para Bolos, Festas e Decoração","22645",1746
"Acessórios para Bolos, Festas e Decoração","20749",1715
"Acessórios para Bolos, Festas e Decoração","23382",1709
"Acessórios para Bolos, Festas e Decoração","23161",1608
"Acessórios para Bolos, Festas e Decoração","23551",1606
"Acessórios para Bolos, Festas e Decoração","22613",1485
"Acessórios para Bolos, Festas e Decoração","37448",1390
"Acessórios para Bolos, Festas e Decoração","37446",1273
"Acessórios para Bolos, Festas e Decoração","22055",1237
"Acessórios para Bolos, Festas e Decoração","23377",1188
"Acessórios para Bolos, Festas e Decoração","23379",1173
"Acessórios para Bolos, Festas e Decoração","22955",986
"Acessórios para Bolos, Festas e Decoração","22721",906
"Acessórios para Bolos, Festas e Decoração","21215",862
"Acessórios para Bolos, Festas e Decoração","37447",757
"Acessórios para Bolos, Festas e Decoração","22649",742
"Acessórios para Bolos, Festas e Decoração","37450",662
