CodigoProduto,Descricao,Categoria,PrecoUnitario,CategoriaPreco
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Decoração e Iluminação,2.55,Barato
71053,WHITE METAL LANTERN,Decoração de Interiores e Móveis,3.39,Barato
84406B,CREAM CUPID HEARTS COAT HANGER,"Bolsas, Decoração e Presentes",2.75,Barato
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,"Bolsas, Decoração e Presentes",3.39,Barato
84029E,RED WOOLLY HOTTIE WHITE HEART.,Decoração de Interiores e Móveis,3.39,Barato
22752,SET 7 BABUSHKA NESTING BOXES,Conjuntos e Kits para Cozinha e Confeitaria,7.65,Moderado
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Decoração e Iluminação,4.25,Barato
22633,HAND WARMER UNION JACK,"Bolsas, Decoração e Presentes",1.85,Barato
22632,HAND WARMER RED POLKA DOT,"Bolsas, Decoração e Presentes",1.85,Barato
84879,ASSORTED COLOUR BIRD ORNAMENT,"Bolsas, Decoração e Presentes",1.69,Barato
22745,POPPY'S PLAYHOUSE BEDROOM ,"Bolsas, Decoração e Presentes",2.1,Barato
22748,POPPY'S PLAYHOUSE KITCHEN,"Bolsas, Decoração e Presentes",2.1,Barato
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,"Bolsas, Decoração e Presentes",3.75,Barato
22310,IVORY KNITTED MUG COSY ,"Bolsas, Decoração e Presentes",1.65,Barato
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,"Bolsas, Decoração e Presentes",4.25,Barato
22623,BOX OF VINTAGE JIGSAW BLOCKS ,"Vintage, Natal e Decoração",4.95,Barato
22622,BOX OF VINTAGE ALPHABET BLOCKS,"Vintage, Natal e Decoração",9.95,Moderado
21754,HOME BUILDING BLOCK WORD,"Bolsas, Decoração e Presentes",5.95,Moderado
21755,LOVE BUILDING BLOCK WORD,"Bolsas, Decoração e Presentes",5.95,Moderado
21777,RECIPE BOX WITH METAL HEART,Decoração e Iluminação,7.95,Moderado
48187,DOORMAT NEW ENGLAND,"Bolsas, Decoração e Presentes",7.95,Moderado
22960,JAM MAKING SET WITH JARS,Conjuntos e Kits para Cozinha e Confeitaria,4.25,Barato
22913,RED COAT RACK PARIS FASHION,"Bolsas, Decoração e Presentes",4.95,Barato
22912,YELLOW COAT RACK PARIS FASHION,"Bolsas, Decoração e Presentes",4.95,Barato
22914,BLUE COAT RACK PARIS FASHION,"Bolsas, Decoração e Presentes",4.95,Barato
21756,BATH BUILDING BLOCK WORD,"Bolsas, Decoração e Presentes",5.95,Moderado
